Date,Close,High,Low,Open,Volume,log_ret,mom_5,mom_10,mom_20,mom_60,mom_120,mom_252,mom_skip_5_60,MA20,MA50,MA100,MA200,bias_20,bias_50,bias_200,is_bull_alignment,golden_cross,death_cross,returns,vol_10,vol_20,vol_60,vol_120,max_up_60,max_down_60,mdd_60,mdd_120,delta_vol_20_60,vol_zscore,volma_20,volma_60,volume_ratio,volume_zscore,amount,amihud,amihud_log,rev_1,rev_5,is_rebound,bb_position,rsi_14,stoch_k,stoch_d,TSLA_Close,rel_ret_mkt_20,rel_ret_nas_20,rel_ret_auto_20,is_outperforming_mkt,tsla_nvda_ratio,rel_mom_nvda_20,tsla_nvda_corr_60
2016-03-31,15.318,15.828,15.0007,15.2893,120193500,0.0126,0.0318,0.0347,0.1988,0.0281,-0.0095,0.1965,-0.0037,14.6018,12.945,13.9086,15.203,0.049,0.1833,0.0076,0,0,0,0.0127,0.3895,0.3557,0.5105,0.4812,0.0871,-0.0899,-0.357,-0.4014,-0.1549,-0.4153,68510550.0,77261975.0,1.7544,1.699,1841124013.7429,0.0,-22.9713,-0.0127,-0.0323,0,0.7089,69.5749,70.7381,70.9142,15.318,0.1626,0.1641,,1,17.5619,0.1203,0.7406
2016-04-01,15.8393,16.5267,15.55,16.322,239962500,0.0335,0.0423,0.0483,0.1938,0.0614,0.0468,0.2363,0.0192,14.7413,12.9969,13.9125,15.1978,0.0745,0.2187,0.0422,0,0,0,0.034,0.4115,0.3504,0.515,0.4825,0.0871,-0.0899,-0.3441,-0.4014,-0.1646,-0.4566,76886925.0,80464650.0,3.121,5.0536,3800845844.3642,0.0,-22.6764,-0.034,-0.0432,0,0.8359,72.0246,72.3295,69.9794,15.8393,0.1547,0.1507,,1,17.8984,0.0919,0.7923
2016-04-04,16.466,16.808,16.2427,16.608,202129500,0.0388,0.0701,0.0594,0.2058,0.1201,0.1126,0.2571,0.05,14.8945,13.0596,13.9223,15.1933,0.1055,0.2608,0.0838,0,0,0,0.0396,0.4329,0.3611,0.5189,0.484,0.0871,-0.0899,-0.3338,-0.4014,-0.1577,-0.3733,82126575.0,82888700.0,2.4612,3.8279,3328264266.8095,0.0,-22.3543,-0.0396,-0.0727,0,0.9678,72.7234,87.3707,76.8128,16.466,0.1733,0.1695,,1,18.7885,0.1107,0.8237
2016-04-05,17.0313,17.104,16.0,16.0333,149230500,0.0338,0.1045,0.0695,0.2187,0.1694,0.1698,0.2294,0.065,15.0618,13.1301,13.9424,15.1912,0.1308,0.2971,0.1211,0,0,0,0.0343,0.4476,0.3692,0.5215,0.485,0.0871,-0.0899,-0.3191,-0.4014,-0.1523,-0.3094,85591050.0,84487300.0,1.7435,2.3761,2541594477.047,0.0,-22.1926,-0.0343,-0.1101,0,1.0374,74.6384,97.3773,85.6925,17.0313,0.1972,0.1903,,1,19.4607,0.1184,0.8196
2016-04-06,17.6947,17.8493,16.8967,16.9313,175582500,0.0382,0.1568,0.125,0.2701,0.2295,0.1911,0.2669,0.0726,15.2712,13.2222,13.975,15.1921,0.1587,0.3383,0.1647,0,0,0,0.0389,0.4504,0.3699,0.5239,0.4875,0.0871,-0.0899,-0.3158,-0.4014,-0.154,-0.3032,91236150.0,86506650.0,1.9245,3.0539,3106874011.8313,0.0,-22.2291,-0.0389,-0.1698,0,1.0968,76.6124,95.6011,93.4497,17.6947,0.2269,0.2132,,1,20.1904,0.15,0.7835
2016-04-07,17.1467,17.956,16.9673,17.7633,132843000,-0.0315,0.1128,0.1446,0.2089,0.213,0.1705,0.2139,0.1003,15.4328,13.307,14.0004,15.1913,0.1111,0.2885,0.1287,0,0,0,-0.031,0.3817,0.3968,0.5275,0.4895,0.0871,-0.0899,-0.3158,-0.4014,-0.1307,-0.0933,95471850.0,87697850.0,1.3914,1.8476,2277814748.1079,0.0,-22.1794,0.031,-0.1194,0,0.9101,68.0276,77.6592,90.2125,17.1467,0.1827,0.1723,,1,19.7695,0.0986,0.7582
2016-04-08,16.6713,17.388,16.5347,17.3667,110458500,-0.0281,0.0512,0.0935,0.1979,0.1748,0.1222,0.1742,0.1236,15.5824,13.3897,14.0252,15.1854,0.0699,0.2451,0.0979,0,0,0,-0.0277,0.4326,0.4084,0.5313,0.4906,0.0871,-0.0899,-0.3032,-0.4014,-0.1229,-0.0028,97100400.0,88765850.0,1.1376,1.2176,1841490470.7527,0.0,-22.1057,0.0277,-0.0525,0,0.774,60.0464,64.5381,79.2661,16.6713,0.1691,0.1582,,1,19.0975,0.0795,0.7253
2016-04-11,16.6613,17.266,16.3533,16.7333,137425500,-0.0006,0.0118,0.0819,0.186,0.2213,0.0961,0.1698,0.2095,15.7238,13.47,14.0536,15.1803,0.0596,0.2369,0.0976,0,0,0,-0.0006,0.4355,0.4102,0.5213,0.4893,0.0871,-0.0899,-0.3032,-0.4014,-0.1111,0.0104,101464350.0,90024675.0,1.3544,1.9401,2289692029.7499,0.0,-26.1572,0.0006,-0.0119,0,0.7519,57.1764,64.2621,68.8198,16.6613,0.1763,0.1683,,1,18.969,0.0784,0.6905
2016-04-12,16.5213,16.7867,16.242,16.6333,86448000,-0.0084,-0.0304,0.0741,0.1414,0.184,0.0829,0.1666,0.2144,15.8327,13.5455,14.076,15.1733,0.0435,0.2197,0.0888,0,0,0,-0.0084,0.4418,0.4018,0.5193,0.4895,0.0871,-0.0899,-0.2991,-0.4014,-0.1175,-0.0558,102737475.0,89842800.0,0.8414,0.5378,1428236255.2185,0.0,-23.0543,0.0084,0.0299,0,0.6941,58.6124,60.3975,63.0659,16.5213,0.1207,0.116,,1,18.8306,0.0374,0.6521
2016-04-13,16.9687,17.0333,16.4887,16.5673,73884000,0.0267,-0.0419,0.115,0.1534,0.2165,0.178,0.2045,0.2584,15.9533,13.6223,14.103,15.1691,0.0636,0.2457,0.1186,0,0,0,0.0271,0.433,0.4071,0.5211,0.481,0.0871,-0.0899,-0.2982,-0.4014,-0.114,-0.0154,104046300.0,89679550.0,0.7101,0.1902,1253712924.408,0.0,-21.7271,-0.0271,0.041,0,0.7924,71.62,72.7457,65.8018,16.9687,0.1209,0.1081,,1,18.8667,0.0196,0.6306
