date,gvkey,rdq,atq,saleq,niq,oiadpq,epspxq,ltq,cheq,dlttq,dlcq,seqq,actq,lctq,xrdq,invtq,rectq,xintq,apq,cogsq,revtq,ceqq,prccq,cshoq,gmq,gpq,roaq,roeq,dtaq,derq,crq,invttq,artq,tatq,mvq,peq,pbq,sizeq,atq_yoy,saleq_yoy,niq_yoy,epspxq_yoy,xrdq_yoy,oancfy_q,ivncfy_q,fincfy_q,capxy_q,fcf_q,opq,ocfrq,accrq
2016-03-31,184996,2016-02-10,8092.460,1214.380,-320.397,-260.333,-2.440,6961.471,1219.536,2040.375,633.166,1130.989,2791.568,2816.274,190.243,1277.838,168.965,47.717,916.148,852.093,1214.380,1088.944,240.010,131.425,362.287,0.045,-0.040,-0.283,0.860,0.330,0.991,0.667,7.187,0.150,31543.314,-98.451,28.967,10.359,0.384,0.269,1.977,1.837,0.363,-29.849,-414.280,225.038,411.222,-441.071,-0.032,-0.004,-0.036
2016-04-01,184996,2016-02-10,8092.460,1214.380,-320.397,-260.333,-2.440,6961.471,1219.536,2040.375,633.166,1130.989,2791.568,2816.274,190.243,1277.838,168.965,47.717,916.148,852.093,1214.380,1088.944,240.010,131.425,362.287,0.045,-0.040,-0.283,0.860,0.330,0.991,0.667,7.187,0.150,31543.314,-98.451,28.967,10.359,0.384,0.269,1.977,1.837,0.363,-29.849,-414.280,225.038,411.222,-441.071,-0.032,-0.004,-0.036
2016-04-04,184996,2016-02-10,8092.460,1214.380,-320.397,-260.333,-2.440,6961.471,1219.536,2040.375,633.166,1130.989,2791.568,2816.274,190.243,1277.838,168.965,47.717,916.148,852.093,1214.380,1088.944,240.010,131.425,362.287,0.045,-0.040,-0.283,0.860,0.330,0.991,0.667,7.187,0.150,31543.314,-98.451,28.967,10.359,0.384,0.269,1.977,1.837,0.363,-29.849,-414.280,225.038,411.222,-441.071,-0.032,-0.004,-0.036
2016-04-05,184996,2016-02-10,8092.460,1214.380,-320.397,-260.333,-2.440,6961.471,1219.536,2040.375,633.166,1130.989,2791.568,2816.274,190.243,1277.838,168.965,47.717,916.148,852.093,1214.380,1088.944,240.010,131.425,362.287,0.045,-0.040,-0.283,0.860,0.330,0.991,0.667,7.187,0.150,31543.314,-98.451,28.967,10.359,0.384,0.269,1.977,1.837,0.363,-29.849,-414.280,225.038,411.222,-441.071,-0.032,-0.004,-0.036
2016-04-06,184996,2016-02-10,8092.460,1214.380,-320.397,-260.333,-2.440,6961.471,1219.536,2040.375,633.166,1130.989,2791.568,2816.274,190.243,1277.838,168.965,47.717,916.148,852.093,1214.380,1088.944,240.010,131.425,362.287,0.045,-0.040,-0.283,0.860,0.330,0.991,0.667,7.187,0.150,31543.314,-98.451,28.967,10.359,0.384,0.269,1.977,1.837,0.363,-29.849,-414.280,225.038,411.222,-441.071,-0.032,-0.004,-0.036
2016-04-07,184996,2016-02-10,8092.460,1214.380,-320.397,-260.333,-2.440,6961.471,1219.536,2040.375,633.166,1130.989,2791.568,2816.274,190.243,1277.838,168.965,47.717,916.148,852.093,1214.380,1088.944,240.010,131.425,362.287,0.045,-0.040,-0.283,0.860,0.330,0.991,0.667,7.187,0.150,31543.314,-98.451,28.967,10.359,0.384,0.269,1.977,1.837,0.363,-29.849,-414.280,225.038,411.222,-441.071,-0.032,-0.004,-0.036
2016-04-08,184996,2016-02-10,8092.460,1214.380,-320.397,-260.333,-2.440,6961.471,1219.536,2040.375,633.166,1130.989,2791.568,2816.274,190.243,1277.838,168.965,47.717,916.148,852.093,1214.380,1088.944,240.010,131.425,362.287,0.045,-0.040,-0.283,0.860,0.330,0.991,0.667,7.187,0.150,31543.314,-98.451,28.967,10.359,0.384,0.269,1.977,1.837,0.363,-29.849,-414.280,225.038,411.222,-441.071,-0.032,-0.004,-0.036
2016-04-11,184996,2016-02-10,8092.460,1214.380,-320.397,-260.333,-2.440,6961.471,1219.536,2040.375,633.166,1130.989,2791.568,2816.274,190.243,1277.838,168.965,47.717,916.148,852.093,1214.380,1088.944,240.010,131.425,362.287,0.045,-0.040,-0.283,0.860,0.330,0.991,0.667,7.187,0.150,31543.314,-98.451,28.967,10.359,0.384,0.269,1.977,1.837,0.363,-29.849,-414.280,225.038,411.222,-441.071,-0.032,-0.004,-0.036
2016-04-12,184996,2016-02-10,8092.460,1214.380,-320.397,-260.333,-2.440,6961.471,1219.536,2040.375,633.166,1130.989,2791.568,2816.274,190.243,1277.838,168.965,47.717,916.148,852.093,1214.380,1088.944,240.010,131.425,362.287,0.045,-0.040,-0.283,0.860,0.330,0.991,0.667,7.187,0.150,31543.314,-98.451,28.967,10.359,0.384,0.269,1.977,1.837,0.363,-29.849,-414.280,225.038,411.222,-441.071,-0.032,-0.004,-0.036
2016-04-13,184996,2016-02-10,8092.460,1214.380,-320.397,-260.333,-2.440,6961.471,1219.536,2040.375,633.166,1130.989,2791.568,2816.274,190.243,1277.838,168.965,47.717,916.148,852.093,1214.380,1088.944,240.010,131.425,362.287,0.045,-0.040,-0.283,0.860,0.330,0.991,0.667,7.187,0.150,31543.314,-98.451,28.967,10.359,0.384,0.269,1.977,1.837,0.363,-29.849,-414.280,225.038,411.222,-441.071,-0.032,-0.004,-0.036
